name,city,country
Spencer Abbott,"Hamilton, ON",CAN
Justin Abdelkader,"Muskegon, MI",USA
Noel Acciari,"Johnston, RI",USA
Kenny Agostino,"Morristown, NJ",USA
Karl Alzner,"Burnaby, BC",CAN
Josh Anderson,"Burlington, ON",CAN
Andy Andreoff,"Pickering, ON",CAN
Josh Archibald,"Regina, SK",CAN
Andreas Athanasiou,"London, ON",CAN
Cam Atkinson,"Riverside, CT",USA
Brady Austin,"Bobcaygeon, ON",CAN
David Backes,"Minneapolis, MN",USA
Casey Bailey,"Anchorage, AK",USA
Josh Bailey,"Bowmanville, ON",CAN
Justin Bailey,"Buffalo, NY",USA
Nicholas Baptiste,"Ottawa, ON",CAN
Riley Barber,"Pittsburgh, PA",USA
Mark Barberio,"Montreal, QC",CAN
Tyson Barrie,"Victoria, BC",CAN
Matt Bartkowski,"Pittsburgh, PA",USA
Mathew Barzal,"Coquitlam, BC",CAN
Cody Bass,"Owen sound, ON",CAN
Jay Beagle,"Calgary, AB",CAN
Francois Beauchemin,"Sorel, QC",CAN
Nathan Beaulieu,"Strathroy, ON",CAN
Anthony Beauvillier,"Sorel-Tracy, QC",CAN
Taylor Beck,"St. Catharines, ON",CAN
Matt Beleskey,"Windsor, ON",CAN
Jamie Benn,"Victoria, BC",CAN
Jordie Benn,"Victoria, BC",CAN
Beau Bennett,"Gardena, CA",USA
Sam Bennett,"Holland Landing, ON",CAN
Matthew Benning,"Edmonton, AB",CAN
Patrice Bergeron,"Ancienne-Lorette, QC",CAN
Tyler Bertuzzi,"Sudbury, ON",CAN
Bryan Bickell,"Bowmanville, ON",CAN
Alex Biega,"Montreal, QC",CAN
Kevin Bieksa,"Grimsby, ON",CAN
Anthony Bitetto,"Island Park, NY",USA
Nick Bjugstad,"Minneapolis, MN",USA
Joseph Blandisi,"Markham, ON",CAN
Mike Blunden,"Toronto, ON",CAN
Brock Boeser,"Burnsville, MN",USA
Zach Bogosian,"Massena, NY",USA
Jared Boll,"Charlotte, NC",USA
Nick Bonino,"Hartford, CT",USA
Mark Borowiecki,"Ottawa, ON",CAN
Robert Bortuzzo,"Thunder Bay, ON",CAN
Reid Boucher,"Lansing, MI",USA
Lance Bouma,"Provost, AB",CAN
Michael Bournival,"Shawinigan, QC",CAN
Gabriel Bourque,"Rimouski, QC",CAN
Rene Bourque,"Lac La Biche, AB",CAN
Jay Bouwmeester,"Edmonton, AB",CAN
Johnny Boychuk,"Edmonton, AB",CAN
Brian Boyle,"Hingham, MA",USA
Tyler Bozak,"Regina, SK",CAN
Derick Brassard,"Hull, QC",CAN
Justin Braun,"Minneapolis, MN",USA
T.J. Brodie,"Chatham, ON",CAN
Kyle Brodziak,"St. Paul, AB",CAN
Jonny Brodzinski,"Ham Lake, MN",USA
Troy Brouwer,"Vancouver, BC",CAN
Connor Brown,"Toronto, ON",CAN
Dustin Brown,"Ithaca, NY",USA
J.T. Brown,"Burnsville, MN",USA
Patrick Brown,"Bloomfield Hills, MI",USA
Erik Burgdoerfer,"Abington, PA",USA
Brent Burns,"Barrie, ON",CAN
Alex Burrows,"Pincourt, QC",CAN
Chris Butler,"St. Louis, MO",USA
Dustin Byfuglien,"Roseau, MN",USA
Paul Byron,"Ottawa, ON",CAN
Drake Caggiula,"Pickering, ON",CAN
Mitch Callahan,"Whittier, CA",USA
Ryan Callahan,"Rochester, NY",USA
Matt Calvert,"Brandon, MB",CAN
Mike Cammalleri,"Toronto, ON",CAN
Brian Campbell,"Strathroy, ON",CAN
Patrick Cannone,"Bayport, NY",USA
Paul Carey,"Boston, MA",USA
Matt Carle,"Anchorage, AK",USA
Brandon Carlo,"Colorado Springs, CO",USA
John Carlson,"Natick, MA",USA
Ryan Carpenter,"Oviedo, FL",USA
Daniel Carr,"Sherwood Park, AB",CAN
Connor Carrick,"Orland Park, IL",USA
Alex Carrier,"Quebec City, QC",CAN
William Carrier,"LaSalle, QC",CAN
Jeff Carter,"London, ON",CAN
Cody Ceci,"Ottawa, ON",CAN
Thomas Chabot,"Sainte-Marie, QC",CAN
Michael Chaput,"Ile Bizard, QC",CAN
Ben Chiarot,"Hamilton, ON",CAN
Alex Chiasson,"Montreal, QC",CAN
Jason Chimera,"Edmonton, AB",CAN
Taylor Chorney,"Thunder Bay, ON",CAN
Jakob Chychrun,"Boca Raton, FL",USA
Casey Cizikas,"Toronto, ON",CAN
Adam Clendening,"Niagara Falls, NY",USA
Kyle Clifford,"Ayr, ON",CAN
Cal Clutterbuck,"Welland, ON",CAN
Braydon Coburn,"Shaunavon, SK",CAN
Andrew Cogliano,"Toronto, ON",CAN
Joe Colborne,"Calgary, AB",CAN
Ian Cole,"Ann Arbor, MI",USA
Blake Coleman,"Plano, TX",USA
Blake Comeau,"Meadow Lake, SK",CAN
J.T. Compher,"Northbrook, IL",USA
Cory Conacher,"Burlington, ON",CAN
Erik Condra,"Trenton, MI",USA
Kevin Connauton,"Edmonton, AB",CAN
Brett Connolly,"Campbell River, BC",CAN
