Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Temp Start,Temp End,Temp,Start Time,Bike?,Sleep,Game,Game 2wk,,Run Total,Run Pace,Run Diff,,Game Total,Game Pace,Game Dif,,Dif,,,,,,,,,
"Friday, January 1, 16",,,,,,,,,,,,,,,0,,0,0.8,-0.8,,0,0.8,0.8,,0.0,,,,,,,Connor McDavid,,Patrick Kane
"Saturday, January 2, 16",,,,,,,,,,,,,,,0,,0,1.6,-1.6,,0,1.6,1.6,,0.0,,,,,,,Steven Stamkos,,Connor McDavid
"Sunday, January 3, 16",,,,,,,,,,,,,,,0,,0,2.5,-2.5,,0,2.5,2.5,,0.0,,,,,,,Patrick Kane,,John Tavares
"Monday, January 4, 16",,,,,,,,,,,,,,,0,,0,3.3,-3.3,,0,3.3,3.3,,0.0,,,,,,,John Tavares,,Steven Stamkos
"Tuesday, January 5, 16",,,,,,,,,,,,,,,0,,0,4.1,-4.1,,0,4.1,4.1,,0.0,,,,,,,Taylor Hall,,Taylor Hall
"Wednesday, January 6, 16",,,,,,,,,,,,,,,0,,0,4.9,-4.9,,0,4.9,4.9,,0.0,,,,,,,Aaron Ekblad,,Aaron Ekblad
"Thursday, January 7, 16",,,,,,,,,,,,,,,0,,0,5.7,-5.7,,0,5.7,5.7,,0.0,,,,,,,Nathan MacKinnon,,Nathan MacKinnon
"Friday, January 8, 16",,,,,,,,,,,,,,,0,,0,6.6,-6.6,,0,6.6,6.6,,0.0,,,,,,,Ryan Nugent-Hopkins,,Erik Johnson
"Saturday, January 9, 16",,,,,,,,,,,,,,,0,,0,7.4,-7.4,,0,7.4,7.4,,0.0,,,,,,,Erik Johnson,,Ryan Nugent-Hopkins
"Sunday, January 10, 16",,,,,,,,,,,,,,,0,,0,8.2,-8.2,,0,8.2,8.2,,0.0,,,,,,,Nail Yakupov,,Nail Yakupov
"Monday, January 11, 16",,,,,,,,,,,,,,,0,,0,9.0,-9.0,,0,9.0,9.0,,0.0,,,,,,,,,
"Tuesday, January 12, 16",,,,,,,,,,,,,,,0,,0,9.8,-9.8,,0,9.8,9.8,,0.0,,,,,,,,,
"Wednesday, January 13, 16",,,,,,,,,,,,,,,0,,0,10.7,-10.7,,0,10.7,10.7,,0.0,,,,,,,,,
"Thursday, January 14, 16",,,,,,,,,,,,,,,0,,0,11.5,-11.5,,0,11.5,11.5,,0.0,,,,,,,,,
"Friday, January 15, 16",,,,,,,,,,,,,,6.9,6.9,,0,12.3,-12.3,,6.9,12.3,5.4,,-6.9,,,,,,,,,
"Saturday, January 16, 16",,,,,,,,,,,,,,1,7.9,,0,13.1,-13.1,,7.9,13.1,5.2,,-7.9,,,,,,,,,
"Sunday, January 17, 16",,,,,,,,,,,,,,,7.9,,0,13.9,-13.9,,7.9,13.9,6.0,,-7.9,,,,,,,,,
"Monday, January 18, 16",,,,,,,,,,,,,,,7.9,,0,14.8,-14.8,,7.9,14.8,6.9,,-7.9,,,,,,,,,
"Tuesday, January 19, 16",,,,,,,,,,,,,,,7.9,,0,15.6,-15.6,,7.9,15.6,7.7,,-7.9,,,,,,,,,
"Wednesday, January 20, 16",,,,,,,,,,,,,,,7.9,,0,16.4,-16.4,,7.9,16.4,8.5,,-7.9,,,,,,,,,
"Thursday, January 21, 16",,,,,,,,,,,,,,5.4,13.3,,0,17.2,-17.2,,13.3,17.2,3.9,,-13.3,,,,,,,,,
"Friday, January 22, 16",,,,,,,,,,,,,,2.1,15.4,,0,18.0,-18.0,,15.4,18.0,2.6,,-15.4,,,,,,,,,
"Saturday, January 23, 16",,,,,,,,,,,,,,6,21.4,,0,18.9,-18.9,,21.4,18.9,-2.5,,-21.4,,,,,,,,,
"Sunday, January 24, 16",,,,,,,,,,,,,,,21.4,,0,19.7,-19.7,,21.4,19.7,-1.7,,-21.4,,,,,,,,,
