state,republican
Alabama,0
Alaska,0
Arkansas,0
Arizona,0
California,1
Colorado,1
Connecticut,1
District of Columbia,1
Delaware,1
Florida,0
Georgia,0
Hawaii,1
Iowa,0
Idaho,0
Illinois,1
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,1
Maryland,1
Massachusetts,1
Michigan,0
Minnesota,1
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,1
New Jersey,1
New Mexico,1
Nevada,1
New York,1
Ohio,0
Oklahoma,0
Oregon,1
Pennsylvania,0
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Virginia,1
Vermont,1
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,0
